,Paper Title,Author,Affiliation,Conference,Year,Link to Paper,Link for Code,Available,ReadMe,RepoGoal,TrainedModel,Out-of-box,Runs,Output,Data_Available,Train/test,Reason,Model Used,Hyperparameters,Training Described
0,"GenoGuard: Protecting Genomic Data against
Brute-Force Attacks","Zhicong Huang, Erman Ayday, Jacques Fellay, Jean-Pierre Hubaux, Ari Juels",0.0,S&P,2015,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=7163041,"
https://github.com/zicofish/GenoGuard",3,2,0,0,0,3,1,7.0,1.0,-1.0,"PCA, K-means clustering",0.0,0.0
1,Cracking-Resistant Password Vaults Using Natural Language Encoders,"Rahul Chatterjee, Joseph Bonneau
, Ari Juels
, Thomas Ristenpart",0.0,S&P,2015,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=7163043,https://github.com/rchatterjee/nocrack,3,2,2,0,0,0,0,7.0,1.0,-1.0,random forest classifiers,1.0,2.0
2,Measuring the Longitudinal Evolution of the Online Anonymous Marketplace Ecosystem,Kyle Soska and Nicolas Christin,0.0,Usenix,2015,https://www.usenix.org/system/files/sec15-paper-soska-updated_v2.pdf,,0,-1,-1,-1,-1,-1,-1,2.0,1.0,-1.0,SVM,0.0,1.0
3,De-anonymizing Programmers via Code Stylometry,"Aylin Caliskan-Islam,
Richard Harang,
Andrew Liu,
Arvind Narayanan,
Clare Voss,
Fabian Yamaguchi,
Rachel Greenstadt,",,Usenix,2015,https://www.usenix.org/system/files/conference/usenixsecurity15/sec15-paper-caliskan-islam.pdf,https://github.com/calaylin/CodeStylometry,1,1,2,0,0,0,0,0.0,0.0,0.0,Random forest classifiers,2.0,2.0
4,"Circuit Fingerprinting Attacks:
Passive Deanonymization of Tor Hidden Services","Albert Kwon, Mashael AlSabah
, David Lazar, Marc Dacier, and Srinivas Devadas",0.0,Usenix,2015,https://www.usenix.org/system/files/conference/usenixsecurity15/sec15-paper-kwon.pdf,http://people.csail.mit.edu/kwonal/hswf.tar.gz,1,2,0,0,1,2,1,7.0,-1.0,-1.0,"CART, C4.5, k-nn Classifiers from WEKA software",0.0,0.0
5,"EASEAndroid: Automatic Policy Analysis and
Refinement for Security Enhanced Android via
Large-Scale Semi-Supervised Learning","Ruowen Wang, William Enck, Douglas Reeves, Xinwen Zhang,
Peng Ning, Dingbang Xu, Wu Zhou, Ahmed M. Azab",1.0,Usenix,2015,https://www.usenix.org/system/files/conference/usenixsecurity15/sec15-paper-wang-ruowen.pdf,,0,-1,-1,-1,-1,-1,-1,0.0,0.0,2.0,Semi-supervised learning,0.0,0.0
6,"Trends and Lessons from Three Years Fighting
Malicious Extensions","Nav Jagpal, Eric Dingle, Jean-Philippe Gravel, Panayiotis Mavrommatis,
Niels Provos, Moheeb Abu Rajab, Kurt Thomas",3.0,Usenix,2015,https://www.usenix.org/system/files/conference/usenixsecurity15/sec15-paper-jagpal.pdf,,0,-1,-1,-1,-1,-1,-1,0.0,0.0,2.0,logistic regression classifier,0.0,0.0
7,"Meerkat:
Detecting Website Defacements through Image-based Object Recognition","Kevin Borgolte, Christopher Kruegel, Giovanni Vigna",0.0,Usenix,2015,https://www.usenix.org/system/files/conference/usenixsecurity15/sec15-paper-borgolte-update.pdf,,0,-1,-1,-1,-1,-1,-1,,0.0,0.0,Deep neural network,2.0,2.0
8,UIPicker: User-Input Privacy Identification in Mobile Applications,"Yuhong Nan, Min Yang, Zhemin Yang, Shunfan Zhou, Guofei Gu, and XiaoFeng Wang ",0.0,Usenix,2015,https://www.usenix.org/system/files/conference/usenixsecurity15/sec15-paper-nan.pdf,,0,-1,-1,-1,-1,-1,-1,0.0,0.0,0.0,"NLP, SVM Classifier",2.0,2.0
9,Cloudy with a Chance of Breach: Forecasting Cyber Security Incidents,"Yang Liu, Armin Sarabi, Jing Zhang, Parinaz Naghizadeh
Manish Karir, Michael Bailey, Mingyan Liu",1.0,Usenix,2015,https://www.usenix.org/system/files/conference/usenixsecurity15/sec15-paper-liu.pdf,,0,-1,-1,-1,-1,-1,-1,,0.0,1.0,Random forest classifier,2.0,2.0
